domain,dns_available,whois_available,whois_registered,has_dns,ip_address,registrar,created_date,check_time,final_status,confidence
sealvantage.com,True,True,False,False,,No DNS Record,,2026-01-23 22:54:57,Available,High
sealelite.com,True,True,False,False,,No DNS Record,,2026-01-23 22:55:02,Available,High
sealvertex.com,True,True,False,False,,No DNS Record,,2026-01-23 22:55:07,Available,High
fortisseal.com,True,True,False,False,,No DNS Record,,2026-01-23 22:55:12,Available,High
aegisseal.com,True,True,False,False,,No DNS Record,,2026-01-23 22:55:18,Available,High
sealprime.com,False,False,True,True,208.109.41.229,DNS Record Found,2023-12-15T13:43:52Z,2026-01-23 22:55:21,Registered,High
sealcrest.com,False,False,True,True,13.248.169.48,DNS Record Found,2020-01-09T17:31:01Z,2026-01-23 22:55:25,Registered,High
sealnexus.com,False,False,True,True,74.119.239.234,DNS Record Found,2025-01-30T15:44:14Z,2026-01-23 22:55:29,Registered,High
sealdynamics.com,False,False,True,True,35.212.125.43,DNS Record Found,1998-02-10T05:00:00Z,2026-01-23 22:55:33,Registered,High
sealpuls.com,True,True,False,False,,No DNS Record,,2026-01-23 22:55:38,Available,High
optiseal.com,False,False,True,True,209.17.116.163,DNS Record Found,2003-01-09T22:48:18Z,2026-01-23 22:55:42,Registered,High
novaseal.com,False,False,True,True,35.190.31.54,DNS Record Found,2000-12-16T17:04:38Z,2026-01-23 22:55:47,Registered,High
primaseal.com,False,False,True,True,35.213.133.185,DNS Record Found,2015-08-14T07:09:25Z,2026-01-23 22:55:51,Registered,High
altusseal.com,True,True,False,False,,No DNS Record,,2026-01-23 22:55:56,Available,High
veloxseal.com,True,True,False,False,,No DNS Record,,2026-01-23 22:56:02,Available,High
sentinseal.com,True,True,False,False,,No DNS Record,,2026-01-23 22:56:07,Available,High
armorseal.com,False,False,True,True,198.202.211.1,DNS Record Found,1998-11-24T05:00:00Z,2026-01-23 22:56:13,Registered,High
shieldseal.com,False,False,True,True,54.243.117.197,DNS Record Found,2014-02-10T19:13:11Z,2026-01-23 22:56:19,Registered,High
citadelseal.com,True,True,False,False,,No DNS Record,,2026-01-23 22:56:24,Available,High
engiseal.com,False,False,True,True,40.119.12.16,DNS Record Found,2022-06-14T20:07:01Z,2026-01-23 22:56:28,Registered,High
valveseal.com,True,False,True,False,,No DNS Record,1999-02-11T05:00:00Z,2026-01-23 22:56:35,Registered,High
polymseal.com,True,True,False,False,,No DNS Record,,2026-01-23 22:56:40,Available,High
