"design_id","component_order","material_name_original","size_or_spec_original","quantity","source_row_price","source_price_unit_status","notes"
"zhulegezhu-design-square-20260714-zhaohelu",,"红玛瑙",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"鸽血红草莓晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"草莓晶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"紫金砂",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"蝴蝶",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"帝王砂",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"流苏",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"隔片",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"桂花",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"贝珠",,,,,"来源详情页显示值；不推断为整串成本。"
"zhulegezhu-design-square-20260714-zhaohelu",,"铃兰",,,,,"来源详情页显示值；不推断为整串成本。"
