material_key,name_en,category_label
linganshi-33ac1c7b8119,White Azeztulite,Clear Quartz
linganshi-3d10edc724a2,Clear Quartz,Clear Quartz
linganshi-6b11da7a669e,High-Grade Clear Quartz,Clear Quartz
linganshi-2bca2ff59437,Morganite,Rose Quartz
linganshi-5d69c232dcbf,Grapefruit Rose Quartz,Rose Quartz
linganshi-d60c97751c64,Rose Quartz,Rose Quartz
linganshi-7b9bd06010ac,Purple Rose Quartz,Rose Quartz
linganshi-13f960b330f5,Lavender Amethyst,Amethyst
linganshi-81c2cbe83009,Brazilian Amethyst,Amethyst
linganshi-053a92f6de8f,Uruguayan Amethyst,Amethyst
linganshi-ca2cfd2e6f27,Bolivian Amethyst,Amethyst
linganshi-aa285ea80c7f,Deep Blue Aquamarine,Aquamarine
linganshi-312231b3d5a5,Glacier Blue Aquamarine,Aquamarine
linganshi-632d699e492a,Sky Blue Aquamarine,Aquamarine
linganshi-d04e94b7d5f5,Lemon Citrine,Citrine
linganshi-9a8d4ff7c3d2,High-Clarity Citrine,Citrine
linganshi-a352628659bf,Yellow Tower Quartz,Citrine
linganshi-9f19e5386cde,Green Quartz,Green Quartz
linganshi-383887f278c9,Light Clear Yellow Garden Quartz,Garden Quartz
linganshi-46514011b53f,Light Clear Red Garden Quartz,Garden Quartz
linganshi-c2dbf7f428a0,Ox-Blood Red Garden Quartz,Garden Quartz
linganshi-e264538f0206,Light Red Garden Quartz,Garden Quartz
linganshi-80e7a588931e,Yellow Garden Quartz,Garden Quartz
linganshi-b50f8e037250,Fanta-Color Garden Quartz,Garden Quartz
linganshi-a306a12d25fc,White Phantom Quartz,Phantom Quartz
linganshi-c3623ee0ac9d,Starry Green Phantom Quartz,Phantom Quartz
linganshi-9333e2f8ca95,Layered Color Phantom Quartz,Phantom Quartz
linganshi-26658b32ce46,Creamy Snowflake Phantom Quartz,Phantom Quartz
linganshi-d38805893220,Half-Garden Green Phantom Quartz,Phantom Quartz
linganshi-0097fe85f932,Clear Snowflake Phantom Quartz,Phantom Quartz
linganshi-0c53bd2309bc,Layered Green Phantom Quartz,Phantom Quartz
linganshi-26dc9a768b5c,Light Strawberry Quartz,Strawberry Quartz
linganshi-bfd55acbc1b3,Strawberry Quartz,Strawberry Quartz
linganshi-ffe0832bbe84,Kyanite,Kyanite
linganshi-1c37899f90f5,Dark Smoky Quartz,Smoky Quartz
linganshi-2eb69dcea947,Light Smoky Quartz,Smoky Quartz
linganshi-e4a2d947fca2,Clear Black Gold Super Seven,Black Gold Super Seven
linganshi-c83a6c795be2,Rich-Color Black Gold Super Seven,Black Gold Super Seven
linganshi-3d22241241ee,Dense Black Gold Super Seven,Black Gold Super Seven
linganshi-34648b506b08,High-Grade Golden Rutilated Quartz,Rutilated Quartz
linganshi-f2b785a652e1,Light Black Rutilated Quartz,Rutilated Quartz
linganshi-02bb151b0e4d,Clear Black Rutilated Quartz,Rutilated Quartz
linganshi-35ca7ee59e2f,Golden Rutilated Quartz,Rutilated Quartz
linganshi-56c326748431,Dense Green Rutilated Quartz,Rutilated Quartz
linganshi-ca0636ed57c0,Dark Black Rutilated Quartz,Rutilated Quartz
linganshi-0a041b98383c,Light Green Rutilated Quartz,Rutilated Quartz
linganshi-a9194943876d,Herkimer Quartz,Herkimer Quartz
linganshi-febef06a434f,Xiuyu Jade,Xiuyu Jade
linganshi-4e2626312e6c,Milky Green Grape Jade,Xiuyu Jade
linganshi-531963308ec0,Lepidolite,Lepidolite
linganshi-aacec3d67adf,Blue Tiger Eye,Blue Tiger Eye
linganshi-b7faca875393,Yellow Tiger Eye,Yellow Tiger Eye
linganshi-d33d88d570f5,Yellow Fluorite,Yellow Fluorite
