"source_name","source_url","evidence_date","evidence_status","component_type","category","sub_category","name_original","name_en_suggestion","size_mm","price_visible","currency","image_evidence_url_or_screenshot","material_or_color","compatible_bead_sizes","orientation_mode","notes","production_ready"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","白水晶","Clear Quartz","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；来米）","clear","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","黄胶花","Yellow Flower Quartz","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；来米）","yellow","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","黑金超深","Black-Gold Super Seven","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；来米）","black-gold","","","仅作为成品卡配方中可见的素材与尺寸；原始中文名称可能为商品简称","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","黄塔晶","Yellow Tower Crystal","11","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；来米）","yellow","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","柠檬晶","Lemon Quartz","11","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；来米）","yellow","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","金虎眼","Golden Tiger Eye","10","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；来米）","gold-brown","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","海蓝宝","Aquamarine","","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；春色寄情人）","blue","","","尺寸未显示；仅作为成品卡配方中可见的素材","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","马粉","Peach Moonstone","","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；春色寄情人）","pink","","","原始中文名称保留；尺寸未显示","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","紫阿赛","Purple Azeztulite","","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；春色寄情人）","purple","","","原始中文名称保留；尺寸未显示","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","星光莫粉","Starlight Mozambique Rose Quartz","","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；春色寄情人）","pink","","","原始中文名称保留；尺寸未显示","no"
