"source_name","source_url","evidence_date","evidence_status","category_level_1","category_level_2","category_level_3","component_type","product_name_original","variant_name_original","size_mm","price_visible","currency","unit_type","image_local_path_or_cache_folder","image_mapping_status","material_or_color","product_attributes","compatible_bead_sizes","orientation_mode","notes","production_ready"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","白水晶","12mm","12","","CNY","single-bead","","not-downloaded","clear","","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","黄胶花","12mm","12","","CNY","single-bead","","not-downloaded","yellow","","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","黑金超深","12mm","12","","CNY","single-bead","","not-downloaded","black-gold","","","","仅作为成品卡配方中可见的素材与尺寸；原始中文名称可能为商品简称","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","黄塔晶","11mm","11","","CNY","single-bead","","not-downloaded","yellow","","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","柠檬晶","11mm","11","","CNY","single-bead","","not-downloaded","yellow","","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","金虎眼","10mm","10","","CNY","single-bead","","not-downloaded","gold-brown","","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","海蓝宝","","","","CNY","single-bead","","not-downloaded","blue","","","","尺寸未显示；仅作为成品卡配方中可见的素材","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","马粉","","","","CNY","single-bead","","not-downloaded","pink","","","","原始中文名称保留；尺寸未显示","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","紫阿赛","","","","CNY","single-bead","","not-downloaded","purple","","","","原始中文名称保留；尺寸未显示","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","成品配方素材","成品配方可见素材","","bead","星光莫粉","","","","CNY","single-bead","","not-downloaded","pink","","","","原始中文名称保留；尺寸未显示","no"
