"source_name","source_url","evidence_date","evidence_status","category_level_1","category_level_2","category_level_3","component_type","product_name_original","variant_name_original","size_mm","price_visible","currency","unit_type","image_local_path_or_cache_folder","image_mapping_status","material_or_color","product_attributes","compatible_bead_sizes","orientation_mode","notes","production_ready"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","11mm","11","7","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","7mm","7","2.5","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","6mm","6","2","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","8mm","8","3","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","9mm","9","4","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","10mm","10","6","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","12mm","12","8","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","乌拉圭紫","14mm","14","12","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","薰衣草紫","13mm","13","9","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","薰衣草紫","11mm","11","7","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","散珠","紫色系","","bead","薰衣草紫","7mm","7","3","CNY","single-bead","","not-downloaded","purple","","","","公开单颗价；紫塔晶10mm显示补货中","no"
