"source_name","source_url","evidence_date","evidence_status","category_level_1","category_level_2","category_level_3","component_type","product_name_original","variant_name_original","size_mm","price_visible","currency","unit_type","image_local_path_or_cache_folder","image_mapping_status","material_or_color","product_attributes","compatible_bead_sizes","orientation_mode","notes","production_ready"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","A级白水晶","6mm","6","1.82","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价;双圈起做","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","A级白水晶","8mm","8","3.84","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","A级白水晶","10mm","10","7.66","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","A级白水晶","12mm","12","11.97","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","A级白水晶","14mm","14","18.66","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","双A级白水晶","6mm","6","3.25","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价;双圈起做","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","双A级白水晶","8mm","8","6.89","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","双A级白水晶","10mm","10","13.79","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","双A级白水晶","12mm","12","21.55","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","双A级白水晶","14mm","14","33.6","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","白阿赛","6mm","6","1.44","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价;双圈起做","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","白阿赛","8mm","8","3.07","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","白阿赛","10mm","10","6.13","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","白阿赛","12mm","12","9.58","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","白阿赛","14mm","14","14.94","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","奶白晶","8mm","8","4.4","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","奶白晶","10mm","10","8.79","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","奶白晶","12mm","12","13.73","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","水晶","clear-crystal","","bead","奶白晶","14mm","14","21.42","CNY","single-bead","","not-downloaded","clear","","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","配饰","spacer","","spacer","金色隔片1右","8mm","8","4","CNY","","","not-downloaded","金色","","8","右","公开单件价；方向为页面名称中的左/右","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","配饰","spacer","","spacer","金色隔片1右","10mm","10","4","CNY","","","not-downloaded","金色","","10","右","公开单件价；方向为页面名称中的左/右","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","配饰","spacer","","spacer","金色隔片1右","12mm","12","4","CNY","","","not-downloaded","金色","","12","右","公开单件价；方向为页面名称中的左/右","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","配饰","spacer","","spacer","金色隔片1左","8mm","8","4","CNY","","","not-downloaded","金色","","8","左","公开单件价；方向为页面名称中的左/右","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","配饰","spacer","","spacer","金色隔片1左","10mm","10","4","CNY","","","not-downloaded","金色","","10","左","公开单件价；方向为页面名称中的左/右","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","配饰","spacer","","spacer","金色隔片1左","12mm","12","4","CNY","","","not-downloaded","金色","","12","左","公开单件价；方向为页面名称中的左/右","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","配饰","spacer","","spacer","金色隔片2右","8mm","8","4","CNY","","","not-downloaded","金色","","8","右","公开单件价；方向为页面名称中的左/右","no"
