"source_name","source_url","evidence_date","evidence_status","category_level_1","category_level_2","category_level_3","component_type","product_name_original","variant_name_original","size_mm","price_visible","currency","unit_type","image_local_path_or_cache_folder","image_mapping_status","material_or_color","product_attributes","compatible_bead_sizes","orientation_mode","notes","production_ready"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白水晶","6mm","6","2.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白水晶","8mm","8","4.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白水晶","10mm","10","8.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白水晶","12mm","12","15.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白水晶","14mm","14","20.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白幽灵","8mm","8","6.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白幽灵","10mm","10","10.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白幽灵","12mm","12","16.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","白幽灵","6mm","6","3.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","薰衣草紫水晶","6mm","6","3.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","薰衣草紫水晶","8mm","8","5.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","珠子","全部珠子","","bead","薰衣草紫水晶","10mm","10","9.00","CNY","single-bead","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-3edf43ae-5d61-4fb6-b107-2d1b0bc961d8.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","跑环","","accessory","祥云跑环","18mm","18","6.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","未确认细分","","accessory","醒狮","10mm","10","3.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","未确认细分","","accessory","时来运转","30mm","30","50.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","吊坠","","accessory","火柴棍","10mm","10","4.50","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","隔珠","","accessory","十字花隔珠","7mm","7","8.50","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","隔珠","","accessory","双面莲","8mm","8","3.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","吊坠","","accessory","音符","18mm","18","3.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","隔片","","accessory","荷叶隔片","8mm","8","2.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","未确认细分","","accessory","时来运转","20mm","20","30.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
"珠了个珠","#小程序://珠了个珠/j4zsMN0DmoU7ZZu","2026-07-14","screenshot-verified","配饰","链子","","accessory","延长链","25mm","25","8.00","CNY","single-item","C:\Users\Dylan\AppData\Local\Temp\codex-clipboard-06666b12-8de9-4301-ad93-1d4de20ef58e.png","screenshot-evidence","","","","","用户提供的珠了个珠小程序截图；商品卡可见名称、尺寸、单价。","no"
