"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_price_list","availability","local_image_files","image_count","variant_count","price_type","notes"
"Annflora Crystal Weave","bead","Agate","Black Agate","黑玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_051.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Agate","Blue Lace Agate","蓝纹玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_049.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Agate","Green Agate","绿玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_047.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Agate","Lychee White Chalcedony","荔枝冻白玉髓","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_048.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Agate","Red Agate","红玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_045.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Agate","Red Agate Abacus Bead","红玛瑙算盘珠","not disclosed","not disclosed","non-round (3 x 6 mm)","6 x 3 mm = $3","not stated","prod_046.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Agate","Yellow Agate","黄玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_050.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Amazonite","Amazonite","天河石","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_016.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Amethyst","Amethyst Rondelle","紫水晶跑环","not disclosed","not disclosed","non-round (4 x 15 mm)","15 x 4 mm = $3","not stated","prod_069.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Amethyst","Brazilian Ametrine","巴西紫水金","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_068.jpg","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Amethyst","Lavender Amethyst","薰衣草紫水晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_070.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Amethyst","Uruguayan Amethyst","乌拉圭紫水晶","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_067.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Aquamarine","Aquamarine Rondelle","海蓝宝跑环","not disclosed","not disclosed","non-round (4 x 15 mm)","15 x 4 mm = $3","not stated","prod_042.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Aquamarine","Cream Blue Aquamarine","奶油蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_041.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Aquamarine","Glacier Blue Aquamarine","冰川蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_039.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Aquamarine","Sapphire Blue Aquamarine","圣蓝海蓝宝","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_040.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Artisan Beads","Agarwood (Raw)","原生沉香","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_022.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Artisan Beads","Agarwood Pill Bead","沉香药片珠","not disclosed","not disclosed","non-round (4 x 9 mm)","9 x 4 mm = $3","not stated","prod_024.png","1","1","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Artisan Beads","Amber","蜜蜡","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_027.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Artisan Beads","Green Sandalwood","绿檀木","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_026.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
"Annflora Crystal Weave","bead","Artisan Beads","Red Sandalwood","小叶紫檀","not disclosed","not disclosed","not stated (round-looking image)","8 mm = $5 | 10 mm = $8 | 12 mm = $12","not stated","prod_023.png","1","3","source material-card price","Research copy only; not approved for Earthward production."
