"source","component_type","category","material_name_en","material_name_cn","color_or_family","grade","form","size_mm","dimensions_mm","public_price_usd","price_type","availability","local_image_path","image_file","source_item_id","notes"
"Annflora Crystal Weave","bead","Agate","Black Agate","黑玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_051.png","prod_051.png","prod_051_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Black Agate","黑玛瑙","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_051.png","prod_051.png","prod_051_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Black Agate","黑玛瑙","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_051.png","prod_051.png","prod_051_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Blue Lace Agate","蓝纹玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_049.png","prod_049.png","prod_049_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Blue Lace Agate","蓝纹玛瑙","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_049.png","prod_049.png","prod_049_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Blue Lace Agate","蓝纹玛瑙","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_049.png","prod_049.png","prod_049_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Green Agate","绿玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_047.png","prod_047.png","prod_047_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Green Agate","绿玛瑙","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_047.png","prod_047.png","prod_047_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Green Agate","绿玛瑙","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_047.png","prod_047.png","prod_047_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Lychee White Chalcedony","荔枝冻白玉髓","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_048.png","prod_048.png","prod_048_8mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Lychee White Chalcedony","荔枝冻白玉髓","not disclosed","not disclosed","not stated (round-looking image)","10","10","8","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_048.png","prod_048.png","prod_048_10mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Lychee White Chalcedony","荔枝冻白玉髓","not disclosed","not disclosed","not stated (round-looking image)","12","12","12","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_048.png","prod_048.png","prod_048_12mm","One local image may serve several size variants."
"Annflora Crystal Weave","bead","Agate","Red Agate","红玛瑙","not disclosed","not disclosed","not stated (round-looking image)","8","8","5","source material-card price","not stated","D:\Code\knowledge-base\01-AI营销\04-选品库\C端\01-疗愈水晶\07-互动工具\crystal-bracelet-builder\data\v3\research\overseas-visual-evidence\annflora-crystal-weave-20260713\prod_045.png","prod_045.png","prod_045_8mm","One local image may serve several size variants."
