material_key,source_product_name_zh,source_image_path,upload_filename,wordpress_attachment_id,wordpress_media_url,upload_status
linganshi-33ac1c7b8119,白阿塞,C:\Users\Dylan\Desktop\灵感石验室\白阿塞.webp,linganshi-33ac1c7b8119.webp,56407,https://goearthward.com/wp-content/uploads/2026/07/linganshi-33ac1c7b8119.webp,uploaded-t17-catalog-media
linganshi-3d10edc724a2,白水晶,C:\Users\Dylan\Desktop\灵感石验室\白水晶.webp,linganshi-3d10edc724a2.webp,56408,https://goearthward.com/wp-content/uploads/2026/07/linganshi-3d10edc724a2.webp,uploaded-t17-catalog-media
linganshi-6b11da7a669e,高品净体白水晶,C:\Users\Dylan\Desktop\灵感石验室\高品净体白水晶.webp,linganshi-6b11da7a669e.webp,56409,https://goearthward.com/wp-content/uploads/2026/07/linganshi-6b11da7a669e.webp,uploaded-t17-catalog-media
linganshi-2bca2ff59437,莫粉,C:\Users\Dylan\Desktop\灵感石验室\莫粉.webp,linganshi-2bca2ff59437.webp,56410,https://goearthward.com/wp-content/uploads/2026/07/linganshi-2bca2ff59437.webp,uploaded-t17-catalog-media
linganshi-5d69c232dcbf,西柚粉晶,C:\Users\Dylan\Desktop\灵感石验室\西柚粉晶.webp,linganshi-5d69c232dcbf.webp,56411,https://goearthward.com/wp-content/uploads/2026/07/linganshi-5d69c232dcbf.webp,uploaded-t17-catalog-media
linganshi-d60c97751c64,粉晶,C:\Users\Dylan\Desktop\灵感石验室\粉晶.webp,linganshi-d60c97751c64.webp,56412,https://goearthward.com/wp-content/uploads/2026/07/linganshi-d60c97751c64.webp,uploaded-t17-catalog-media
linganshi-7b9bd06010ac,紫马粉,C:\Users\Dylan\Desktop\灵感石验室\紫马粉.webp,linganshi-7b9bd06010ac.webp,56413,https://goearthward.com/wp-content/uploads/2026/07/linganshi-7b9bd06010ac.webp,uploaded-t17-catalog-media
linganshi-13f960b330f5,薰衣草,C:\Users\Dylan\Desktop\灵感石验室\薰衣草.webp,linganshi-13f960b330f5.webp,56414,https://goearthward.com/wp-content/uploads/2026/07/linganshi-13f960b330f5.webp,uploaded-t17-catalog-media
linganshi-81c2cbe83009,巴西紫水晶,C:\Users\Dylan\Desktop\灵感石验室\巴西紫水晶.webp,linganshi-81c2cbe83009.webp,56415,https://goearthward.com/wp-content/uploads/2026/07/linganshi-81c2cbe83009.webp,uploaded-t17-catalog-media
linganshi-053a92f6de8f,乌拉圭紫水晶,C:\Users\Dylan\Desktop\灵感石验室\乌拉圭紫水晶.webp,linganshi-053a92f6de8f.webp,56416,https://goearthward.com/wp-content/uploads/2026/07/linganshi-053a92f6de8f.webp,uploaded-t17-catalog-media
